state_name,county_name,income cat,PCTELIG,PCTLIIC,DRD
Connecticut                                                           ,Fairfield County                             ,0,8.9,91.1,0
Connecticut                                                           ,Fairfield County                             ,1,3.8,15.7,11
Connecticut                                                           ,Fairfield County                             ,2,4.9,20.4,12
Connecticut                                                           ,Fairfield County                             ,3,2.3,9.9,4
Connecticut                                                           ,Fairfield County                             ,4,6.8,34.3,11
Connecticut                                                           ,Fairfield County                             ,5,4.5,24.4,7
Connecticut                                                           ,Fairfield County                             ,0,10.5,89.5,7
Connecticut                                                           ,Fairfield County                             ,1,4.3,14.2,4
Connecticut                                                           ,Fairfield County                             ,2,5.6,18.7,7
Connecticut                                                           ,Fairfield County                             ,3,2.5,8.8,11
Connecticut                                                           ,Fairfield County                             ,4,8,32.4,13
Connecticut                                                           ,Fairfield County                             ,5,5.5,23.7,4
Connecticut                                                           ,Fairfield County                             ,0,7.3,92.7,3
Connecticut                                                           ,Fairfield County                             ,1,3.4,17.2,13
Connecticut                                                           ,Fairfield County                             ,2,4.2,22,12
Connecticut                                                           ,Fairfield County                             ,3,2.2,11,7
Connecticut                                                           ,Fairfield County                             ,4,5.7,36.1,2
Connecticut                                                           ,Fairfield County                             ,5,3.5,25.1,2
Connecticut                                                           ,Fairfield County                             ,0,10.7,89.3,12
Connecticut                                                           ,Fairfield County                             ,1,4.6,13.3,3
Connecticut                                                           ,Fairfield County                             ,2,5.9,17.5,9
Connecticut                                                           ,Fairfield County                             ,3,2.8,8.3,4
Connecticut                                                           ,Fairfield County                             ,4,8.3,31.2,8
Connecticut                                                           ,Fairfield County                             ,5,5.5,22.9,4
Connecticut                                                           ,Fairfield County                             ,0,13,87,7
Connecticut                                                           ,Fairfield County                             ,1,5.3,11.1,11
Connecticut                                                           ,Fairfield County                             ,2,6.9,15.1,4
Connecticut                                                           ,Fairfield County                             ,3,3,6.7,8
Connecticut                                                           ,Fairfield County                             ,4,9.9,28.4,4
Connecticut                                                           ,Fairfield County                             ,5,6.9,21.7,3
Connecticut                                                           ,Fairfield County                             ,0,8.5,91.5,4
Connecticut                                                           ,Fairfield County                             ,1,4,15.3,7
Connecticut                                                           ,Fairfield County                             ,2,4.9,19.8,3
Connecticut                                                           ,Fairfield County                             ,3,2.5,9.8,12
Connecticut                                                           ,Fairfield County                             ,4,6.7,33.9,12
